doc_std_name;NumberOfPatentApplications
MATSUSHITA ELECTRIC IND CO LTD;512193
HITACHI LTD;497500
CANON KK;497313
SAMSUNG ELECTRONICS CO LTD;438658
SIEMENS AG;425642
MITSUBISHI ELECTRIC CORP;417831
IBM;399200
SONY CORP;366861
FUJITSU LTD;331969
NEC CORP;298316
TOSHIBA CORP;296884
BOSCH GMBH ROBERT;270965
LG ELECTRONICS INC;246874
GEN ELECTRIC;244754
SEIKO EPSON CORP;224084
SHARP KK;223727
HONDA MOTOR CO LTD;212930
RICOH KK;184066
BAYER AG;180579
HUAWEI TECH CO LTD;167532
QUALCOMM INC;166972
TOYOTA MOTOR CORP;163148
BASF AG;152280
SANYO ELECTRIC CO;148509
STATE GRID CORP CHINA;141037
DU PONT;134610
NISSAN MOTOR;134016
PROCTER & GAMBLE;132290
TOYOTA MOTOR CO LTD;128316
MITSUBISHI HEAVY IND LTD;127007
DENSO CORP;123206
KONINKL PHILIPS ELECTRONICS NV;122764
NIPPON TELEGRAPH & TELEPHONE;122077
HOECHST AG;117772
HYUNDAI MOTOR CO LTD;116425
FUJI PHOTO FILM CO LTD;116278
PHILIPS NV;116242
INTEL CORP;114473
MATSUSHITA ELECTRIC WORKS LTD;110176
SUMITOMO ELECTRIC INDUSTRIES;107673
TOSHIBA KK;107611
ERICSSON TELEFON AB L M;106276
PANASONIC CORP;104416
TOKYO SHIBAURA ELECTRIC CO;98431
ZTE CORP;94308
HOFFMANN LA ROCHE;94257
FUJIFILM CORP;93847
EASTMAN KODAK CO;91995
NIPPON ELECTRIC CO;90226
SUMITOMO CHEMICAL CO;89149
NIPPON STEEL CORP;87782
THE INVENTOR HAS WAIVED THE RIGHT TO BE MENTIONED;87606
FUJI XEROX CO LTD;86804
HON HAI PREC IND CO LTD;82914
MICROSOFT CORP;80379
XEROX CORP;79661
BROTHER IND LTD;77076
3M INNOVATIVE PROPERTIES CO;72756
DAINIPPON PRINTING CO LTD;71980
TORAY INDUSTRIES;70303
WESTINGHOUSE ELECTRIC CORP;70083
MOTOROLA INC;69506
WANG WEI;69200
"NULL, NULL;66807"
KYOCERA CORP;65040
COMMISSARIAT ENERGIE ATOMIQUE;64746
OKI ELECTRIC IND CO LTD;64279
FUJI ELECTRIC CO LTD;62493
CIBA GEIGY AG;62382
SHELL INT RESEARCH;62356
HEWLETT PACKARD DEVELOPMENT CO;61643
ICI LTD;61638
ZHANG WEI;61285
BAYERISCHE MOTOREN WERKE AG;61017
OREAL;60989
BOE TECHNOLOGY GROUP CO LTD;60738
MURATA MANUFACTURING CO;60664
FORD GLOBAL TECH LLC;60049
BASF SE;59682
LG CHEMICAL LTD;59465
NOVARTIS AG;59044
KAO CORP;57951
RCA CORP;57648
DOW CHEMICAL CO;57022
KONISHIROKU PHOTO IND;56956
RICOH CO LTD;56910
BRIDGESTONE CORP;56487
MINNESOTA MINING & MFG;56388
KOBE STEEL LTD;56291
SEKISUI CHEMICAL CO LTD;54829
CASIO COMPUTER CO LTD;54703
NIKON CORP;54561
NOKIA CORP;53802
DAIKIN IND LTD;53585
MAZDA MOTOR;53176
GEN MOTORS CORP;53083
OMRON TATEISI ELECTRONICS CO;53045
APPLE INC;52864
LILLY CO ELI;51630
TOKYO ELECTRON LTD;51554
TEXAS INSTRUMENTS INC;51536
YAZAKI CORP;51393
LI WEI;51344
HYNIX SEMICONDUCTOR INC;50839
UNILEVER NV;50305
NITTO DENKO CORP;49575
UNIV CALIFORNIA;48522
IG FARBENINDUSTRIE AG;48043
KOREA ELECTRONICS TELECOMM;47983
TOPPAN PRINTING CO LTD;47920
PFIZER;47763
OLYMPUS OPTICAL CO;47602
LICENTIA GMBH;47516
MERCK & CO INC;47433
UNIV ZHEJIANG;46698
SAMSUNG DISPLAY CO LTD;46697
WANG LEI;46501
SAMSUNG SDI CO LTD;46374
YUNGUO LUO;46278
LIU WEI;45793
WANG JUN;45701
MICROSOFT TECHNOLOGY LICENSING LLC;45637
OLYMPUS CORP;45323
BOEING CO;45288
KUBOTA KK;45228
MERCK PATENT GMBH;45073
COLGATE PALMOLIVE CO;45012
ZHANG LEI;44785
SAMSUNG ELECTRO MECH;44591
SEMICONDUCTOR ENERGY LAB;44277
KAWASAKI STEEL CO;44082
CENTRE NAT RECH SCIENT;43961
LG DISPLAY CO LTD;43859
INFINEON TECHNOLOGIES AG;43800
MICRON TECHNOLOGY INC;43760
KIMBERLY CLARK CO;43019
UNION CARBIDE CORP;43001
AISIN SEIKI;42597
WESTERN ELECTRIC CO;42573
AMERICAN CYANAMID CO;42552
HONEYWELL INT INC;42399
UNIV TSINGHUA;42271
TDK CORP;42077
SUMITOMO WIRING SYSTEMS;42050
FURUKAWA ELECTRIC CO LTD;41744
LI JUN;41127
FRAUNHOFER GES FORSCHUNG;40834
APPLIED MATERIALS INC;40637
HITACHI CHEMICAL CO LTD;40614
GREE ELECTRIC APPLIANCES INC ZHUHAI;40351
ASAHI GLASS CO LTD;39962
ASAHI CHEMICAL IND;39831
MIDEA GROUP CO LTD;39823
SUMITOMO METAL IND;39763
TAIWAN SEMICONDUCTOR MFG;39407
KIA MOTORS CORP;39118
UNITED TECHNOLOGIES CORP;39033
NIPPON KOKAN KK;38709
DAIMLER BENZ AG;37868
SANKYO CO;37576
SHINETSU CHEMICAL CO;37567
BBC BROWN BOVERI & CIE;37338
ZAHNRADFABRIK FRIEDRICHSHAFEN;37316
SHIMADZU CORP;37039
DEGUSSA;37030
VOLKSWAGEN AG;36865
NTT DOCOMO INC;36441
ALPS ELECTRIC CO LTD;36411
LIU YANG;36173
GOOGLE INC;36002
CHEN WEI;35852
ZHANG JIAN;35716
WANG JIAN;35432
YAMAHA MOTOR CO LTD;35417
HENKEL KGAA;35410
ZHANG JUN;35106
DEERE & CO;34976
EXXON RESEARCH ENGINEERING CO;34905
ISHIKAWAJIMA HARIMA HEAVY IND;34766
IND TECH RES INST;34622
POSCO;34522
MITSUBISHI CHEM CORP;34278
LIU JUN;34207
HEWLETT PACKARD CO;33838
ILLINOIS TOOL WORKS;33624
YAMAHA CORP;33551
PANASONIC IP MAN CO LTD;33512
ASTRAZENECA AB;33167
ROHM & HAAS;33017
UNILEVER PLC;32555
TENCENT TECH SHENZHEN CO LTD;32475
VICTOR COMPANY OF JAPAN;32442
GOODYEAR TIRE & RUBBER;32325
WANG YONG;32314
DAIMLER AG;31719
WANG TAO;31535
NGK INSULATORS LTD;31480
ALIBABA GROUP HOLDING LTD;31425
KOMATSU MFG CO LTD;31348
MITSUBISHI MATERIALS CORP;31235
FUJIKURA LTD;31204
SHOWA DENKO KK;31165
ZHANG LI;31162
ISEKI AGRICULT MACH;31122
WANG HUI;31108
ZHANG YU;31086
TEIJIN LTD;30946
KVASENKOV OLEG IVANOVICH;30910
CORNING INC;30708
MONSANTO CO;30706
UNIV SOUTH CHINA TECH;30366
SCHERING AG;30236
NIPPON DENSO CO;29762
AUDI AG;29616
ICI PLC;29391
HITACHI METALS LTD;29362
SUMITOMO RUBBER IND;29322
LG INNOTEK CO LTD;29307
NTN TOYO BEARING CO LTD;29137
TOSHIBA TEC KK;28861
ABBOTT LAB;28832
KAWASAKI HEAVY IND LTD;28612
UNIV TIANJIN;28532
HALLIBURTON ENERGY SERVICES INC;28283
LI BIN;28154
INT STANDARD ELECTRIC CORP;28006
ZHANG TAO;27950
CHINA PETROLEUM & CHEMICAL;27905
WANG JING;27829
UNIV SOUTHEAST;27817
LI LI;27801
YOKOHAMA RUBBER CO LTD;27794
ZHANG JIE;27772
ZHANG YONG;27762
MITSUBISHI RAYON CO;27731
MITSUBISHI MOTORS CORP;27686
LI JIAN;27661
HITACHI CABLE;27637
CIBA GEIGY;27512
GLAXO GROUP LTD;27511
PHILLIPS PETROLEUM CO;27413
KURARAY CO;27377
LI YAN;27368
WANG BIN;27294
LI JING;27286
MURATA MACHINERY LTD;27275
NSK LTD;27250
GENENTECH INC;27216
LUCENT TECHNOLOGIES INC;27178
ZHANG YI;27060
SCHAEFFLER TECHNOLOGIES AG;27009
LI YANG;26924
HONGFUJIN PREC IND SHENZHEN;26851
TOYO BOSEKI;26838
ALCATEL LUCENT;26767
DAEWOO ELECTRONICS CO LTD;26689
UNIV SHANGHAI JIAOTONG;26657
WANG LI;26318
PIONEER ELECTRONIC CORP;26184
WANG YAN;26136
EATON CORP;26057
LI MING;26019
LI QIANG;25999
KONINKLIJKE PHILIPS NV;25971
GM GLOBAL TECH OPERATIONS INC;25953
PETROCHINA CO LTD;25870
ZHANG YAN;25811
ROHM CO LTD;25787
WANG PENG;25770
WANG XIN;25728
LI HUI;25728
SQUIBB BRISTOL MYERS CO;25410
SANDOZ AG;25394
NESTEC SA;25321
JANSSEN PHARMACEUTICA NV;25069
DOW GLOBAL TECHNOLOGIES LLC;25013
US ARMY;24776
DAINIPPON INK & CHEMICALS;24732
BSH BOSCH SIEMENS HAUSGERAETE;24624
ZHANG HUI;24621
WANG YU;24591
CATERPILLAR INC;24450
BAKER HUGHES INC;24387
ZHANG PENG;24378
ZHANG BO;24252
AIR LIQUIDE;24211
CISCO TECH INC;24194
