"grid_id","Country","Name","relationship_type","currentlyOnGrid","hasMatch"
"grid.1001.0","Australia","AUSTRALIAN NATIONAL UNIVERSITY","Parent",TRUE,TRUE
"grid.1002.3","Australia","MONASH UNIVERSITY","Parent",TRUE,TRUE
"grid.1003.2","Australia","UNIVERSITY OF QUEENSLAND",,TRUE,TRUE
"grid.1004.5","Australia","MACQUARIE UNIVERSITY",,TRUE,TRUE
"grid.1005.4","Australia","UNSW SYDNEY",,TRUE,TRUE
"grid.1006.7","United Kingdom","NEWCASTLE UNIVERSITY","Parent",TRUE,TRUE
"grid.1007.6","Australia","UNIVERSITY OF WOLLONGONG","Parent",TRUE,TRUE
"grid.1008.9","Australia","UNIVERSITY OF MELBOURNE","Parent",TRUE,TRUE
"grid.1009.8","Australia","UNIVERSITY OF TASMANIA",,TRUE,TRUE
"grid.1010.0","Australia","UNIVERSITY OF ADELAIDE","Parent",TRUE,TRUE
"grid.1011.1","Australia","JAMES COOK UNIVERSITY",,TRUE,TRUE
"grid.1012.2","Australia","UNIVERSITY OF WESTERN AUSTRALIA","Parent",TRUE,TRUE
"grid.1013.3","Australia","UNIVERSITY OF SYDNEY","Parent",TRUE,TRUE
"grid.1014.4","Australia","FLINDERS UNIVERSITY",,TRUE,TRUE
"grid.1016.6","Australia","COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION","Child",TRUE,TRUE
"grid.1017.7","Australia","RMIT UNIVERSITY","Parent",TRUE,TRUE
"grid.1018.8","Australia","LA TROBE UNIVERSITY",,TRUE,TRUE
"grid.1019.9","Australia","VICTORIA UNIVERSITY",,TRUE,FALSE
"grid.1021.2","Australia","DEAKIN UNIVERSITY",,TRUE,TRUE
"grid.1022.1","Australia","GRIFFITH UNIVERSITY",,TRUE,TRUE
"grid.1024.7","Australia","QUEENSLAND UNIVERSITY OF TECHNOLOGY",,TRUE,TRUE
"grid.1025.6","Australia","MURDOCH UNIVERSITY",,TRUE,TRUE
"grid.1026.5","Australia","UNIVERSITY OF SOUTH AUSTRALIA","Parent",TRUE,TRUE
